Time;Channel A
(s);(V)

0,00000000;2,47616300
0,00020000;2,47616300
0,00040000;2,47616300
0,00060000;2,47616300
0,00080000;2,47616300
0,00100000;2,47616300
0,00120000;2,47616300
0,00140000;2,47616300
0,00160000;2,47616300
0,00180000;2,47616300
0,00200000;2,47616300
0,00220000;2,47616300
0,00240000;2,47616300
0,00260000;2,47616300
0,00280000;2,47616300
0,00300000;2,47616300
0,00320000;2,47616300
0,00340000;2,47616300
0,00360000;2,47616300
0,00380000;2,47616300
0,00400000;2,47616300
0,00420000;2,47616300
0,00440000;2,47616300
0,00460000;2,47616300
0,00480000;2,47616300
0,00500000;2,47616300
0,00520000;2,47616300
0,00540000;2,47616300
0,00560000;2,47616300
0,00580000;2,47616300
0,00600000;2,47616300
0,00620000;2,47616300
0,00640000;2,47616300
0,00660000;2,47616300
0,00680000;2,47616300
0,00700000;2,47616300
0,00720000;2,47616300
0,00740000;2,47616300
0,00760000;2,47616300
0,00780000;2,47616300
0,00800000;2,47616300
0,00820000;2,47616300
0,00840000;2,47616300
0,00860000;2,47616300
0,00880000;2,47616300
0,00900000;2,47616300
0,00920000;2,47616300
0,00940000;2,47616300
0,00960000;2,47616300
0,00980000;2,47616300
0,01000000;2,47616300
0,01020000;2,47616300
0,01040000;2,47616300
0,01060000;2,47616300
0,01080000;2,47616300
0,01100000;2,47616300
0,01120000;2,47616300
0,01140000;2,47616300
0,01160000;2,47616300
0,01180000;2,47616300
0,01200000;2,47616300
0,01220000;2,47616300
0,01240000;2,47616300
0,01260000;2,47616300
0,01280000;2,47616300
0,01300000;2,47616300
0,01320000;2,47616300
0,01340000;2,47616300
0,01360000;2,47616300
0,01380000;2,47616300
0,01400000;2,47616300
0,01420000;2,47616300
0,01440000;2,47616300
0,01460000;2,47616300
0,01480000;2,47616300
0,01500000;2,47616300
0,01520000;2,47616300
0,01540000;2,47616300
0,01560000;2,47616300
0,01580000;2,47616300
0,01600000;2,47616300
0,01620000;2,47616300
0,01640000;2,47616300
0,01660000;2,47616300
0,01680000;2,47616300
0,01700000;2,47616300
0,01720000;2,47616300
0,01740000;2,47616300
0,01760000;2,47616300
0,01780000;2,47616300
0,01800000;2,47616300
0,01820000;2,47616300
0,01840000;2,47616300
0,01860000;2,47616300
0,01880000;2,47616300
0,01900000;2,47616300
0,01920000;2,47616300
0,01940000;2,47616300
0,01960000;2,47616300
0,01980000;2,47616300
0,02000000;2,47616300
0,02020000;2,47616300
0,02040000;2,47616300
0,02060000;2,47616300
0,02080000;2,47616300
0,02100000;2,47616300
0,02120000;2,47616300
0,02140000;2,47616300
0,02160000;2,47616300
0,02180000;2,47616300
0,02200000;2,47616300
0,02220000;2,47616300
0,02240000;2,47616300
0,02260000;2,47616300
0,02280000;2,47616300
0,02300000;2,47616300
0,02320000;2,47616300
0,02340000;2,47616300
0,02360000;2,47616300
0,02380000;2,47616300
0,02400000;2,47616300
0,02420000;2,47616300
0,02440000;2,47616300
0,02460000;2,47616300
0,02480000;2,47616300
0,02500000;2,47616300
0,02520000;2,47616300
0,02540000;2,47616300
0,02560000;2,47616300
0,02580000;2,47616300
0,02600000;2,47616300
0,02620000;2,47616300
0,02640000;2,47616300
0,02660000;2,47616300
0,02680000;2,47616300
0,02700000;2,47616300
0,02720000;2,47616300
0,02740000;2,47616300
0,02760000;2,47616300
0,02780000;2,47616300
0,02800000;2,47616300
0,02820000;2,47616300
0,02840000;2,47616300
0,02860000;2,47616300
0,02880000;2,47616300
0,02900000;2,47616300
0,02920000;2,47616300
0,02940000;2,47616300
0,02960000;2,47616300
0,02980000;2,47616300
0,03000000;2,47616300
0,03020000;2,47616300
0,03040000;2,47616300
0,03060000;2,47616300
0,03080000;2,47616300
0,03100000;2,47616300
0,03120000;2,47616300
0,03140000;2,47616300
0,03160000;2,47616300
0,03180000;2,47616300
0,03200000;2,47616300
0,03220000;2,47616300
0,03240000;2,47616300
0,03260000;2,47616300
0,03280000;2,47616300
0,03300000;2,47616300
0,03320000;2,47616300
0,03340000;2,47616300
0,03360000;2,47616300
0,03380000;2,47616300
0,03400000;2,47616300
0,03420000;2,47616300
0,03440000;2,47616300
0,03460000;2,47616300
0,03480000;2,47616300
0,03500000;2,47616300
0,03520000;2,47616300
