Time;Channel A
(s);(V)

0,00000000;0,88767220
0,00020000;0,88767220
0,00040000;0,88767220
0,00060000;0,88767220
0,00080000;0,88767220
0,00100000;0,88767220
0,00120000;0,88767220
0,00140000;0,88767220
0,00160000;0,88767220
0,00180000;0,88767220
0,00200000;0,88767220
0,00220000;0,88767220
0,00240000;0,88767220
0,00260000;0,88767220
0,00280000;0,88767220
0,00300000;0,88767220
0,00320000;0,88767220
0,00340000;0,88767220
0,00360000;0,88767220
0,00380000;0,88767220
0,00400000;0,88767220
0,00420000;0,88767220
0,00440000;0,88767220
0,00460000;0,88767220
0,00480000;0,88767220
0,00500000;0,88767220
0,00520000;0,88767220
0,00540000;0,88767220
0,00560000;0,88767220
0,00580000;0,88767220
0,00600000;0,88767220
0,00620000;0,88767220
0,00640000;0,84092030
0,00660000;0,88767220
0,00680000;0,88767220
0,00700000;0,88767220
0,00720000;0,88767220
0,00740000;0,88767220
0,00760000;0,88767220
0,00780000;0,88767220
0,00800000;0,93427040
0,00820000;0,88767220
0,00840000;0,88767220
0,00860000;0,88767220
0,00880000;0,88767220
0,00900000;0,88767220
0,00920000;0,84092030
0,00940000;0,88767220
0,00960000;0,88767220
0,00980000;0,88767220
0,01000000;0,88767220
0,01020000;0,88767220
0,01040000;0,88767220
0,01060000;0,88767220
0,01080000;0,88767220
0,01100000;0,88767220
0,01120000;0,84092030
0,01140000;0,88767220
0,01160000;0,88767220
0,01180000;0,88767220
0,01200000;0,88767220
0,01220000;0,88767220
0,01240000;0,88767220
0,01260000;0,88767220
0,01280000;0,88767220
0,01300000;0,88767220
0,01320000;0,88767220
0,01340000;0,88767220
0,01360000;0,88767220
0,01380000;0,88767220
0,01400000;0,88767220
0,01420000;0,88767220
0,01440000;0,88767220
0,01460000;0,88767220
0,01480000;0,88767220
0,01500000;0,88767220
0,01520000;0,88767220
0,01540000;0,88767220
0,01560000;0,88767220
0,01580000;0,88767220
0,01600000;0,88767220
0,01620000;0,88767220
0,01640000;0,88767220
0,01660000;0,88767220
0,01680000;0,88767220
0,01700000;0,88767220
0,01720000;0,88767220
0,01740000;0,88767220
0,01760000;0,88767220
0,01780000;0,88767220
0,01800000;0,88767220
0,01820000;0,88767220
0,01840000;0,88767220
0,01860000;0,88767220
0,01880000;0,88767220
0,01900000;0,88767220
0,01920000;0,88767220
0,01940000;0,88767220
0,01960000;0,88767220
0,01980000;0,88767220
0,02000000;0,88767220
0,02020000;0,88767220
0,02040000;0,88767220
0,02060000;0,88767220
0,02080000;0,88767220
0,02100000;0,88767220
0,02120000;0,88767220
0,02140000;0,88767220
0,02160000;0,88767220
0,02180000;0,88767220
0,02200000;0,88767220
0,02220000;0,88767220
0,02240000;0,88767220
0,02260000;0,88767220
0,02280000;0,88767220
0,02300000;0,88767220
0,02320000;0,88767220
0,02340000;0,88767220
0,02360000;0,88767220
0,02380000;0,84092030
0,02400000;0,88767220
0,02420000;0,88767220
0,02440000;0,88767220
0,02460000;0,88767220
0,02480000;0,88767220
0,02500000;0,88767220
0,02520000;0,88767220
0,02540000;0,88767220
0,02560000;0,88767220
0,02580000;0,88767220
0,02600000;0,88767220
0,02620000;0,88767220
0,02640000;0,88767220
0,02660000;0,88767220
0,02680000;0,88767220
0,02700000;0,88767220
0,02720000;0,88767220
0,02740000;0,88767220
0,02760000;0,88767220
0,02780000;0,88767220
0,02800000;0,88767220
0,02820000;0,88767220
0,02840000;0,93427040
0,02860000;0,88767220
0,02880000;0,88767220
0,02900000;0,88767220
0,02920000;0,88767220
0,02940000;0,88767220
0,02960000;0,88767220
0,02980000;0,88767220
0,03000000;0,88767220
0,03020000;0,88767220
0,03040000;0,88767220
0,03060000;0,88767220
0,03080000;0,88767220
0,03100000;0,88767220
0,03120000;0,88767220
0,03140000;0,88767220
0,03160000;0,88767220
0,03180000;0,88767220
0,03200000;0,88767220
0,03220000;0,88767220
0,03240000;0,88767220
0,03260000;0,88767220
0,03280000;0,88767220
0,03300000;0,88767220
0,03320000;0,88767220
0,03340000;0,88767220
0,03360000;0,88767220
0,03380000;0,88767220
0,03400000;0,88767220
0,03420000;0,88767220
0,03440000;0,88767220
0,03460000;0,88767220
0,03480000;0,88767220
0,03500000;0,88767220
0,03520000;0,88767220
